currency,detail_date,closing_price,24_hour_open,24h_high_usd,24h_low_usd
LINK,9/4/20,13.0098527915,14.8167560975,14.9590936386,12.8038222538
LINK,9/5/20,12.632173267,11.9588562451,12.9428101815,11.0437243392
LINK,9/6/20,10.3764952245,12.3964127622,12.7365167534,9.3181692216
LINK,9/7/20,12.5230856247,10.615900933,13.2706398815,9.7722565549
LINK,9/8/20,12.5110549685,12.8162790329,13.1776070071,11.2301421461
OXT,7/23/20,0.1852349894,0.184310549,0.1868118819,0.1815546607
OXT,7/24/20,0.1859179987,0.1842696313,0.1896135047,0.1829413911
OXT,7/25/20,0.1830038896,0.1862447541,0.1898656946,0.1823939083
OXT,7/26/20,0.1830973558,0.1829913997,0.1848320627,0.1805725536
OXT,7/27/20,0.1833760882,0.1804418453,0.1864751035,0.180436675
OXT,7/28/20,0.1704477157,0.1830422845,0.1838561287,0.1598923118
OXT,7/29/20,0.174997209,0.1694692755,0.1794925103,0.1684724356
OXT,7/30/20,0.1832452548,0.1742183094,0.1864124738,0.1715503723
OXT,7/31/20,0.1782999456,0.1801136295,0.1836891533,0.1759141126
OXT,8/1/20,0.177578619,0.1792619651,0.1801982079,0.1754465844
OXT,8/2/20,0.1828325394,0.1772193896,0.1830977804,0.1735107224
OXT,8/3/20,0.1734056779,0.1819196822,0.1839701504,0.170828874
OXT,8/4/20,0.1739950543,0.1739593837,0.1779803884,0.1730064914
OXT,8/5/20,0.1728217913,0.1761212465,0.1761439797,0.1726232356
OXT,8/6/20,0.1721891595,0.1725881774,0.1736678092,0.170313663
OXT,8/7/20,0.1718794325,0.1728627413,0.1735403945,0.1704819172
OXT,8/8/20,0.1743606509,0.1718207385,0.1772658984,0.167078484
OXT,8/9/20,0.1765736329,0.1735057467,0.1806428387,0.1712848046
OXT,8/10/20,0.1872307095,0.1782849718,0.1896326196,0.1744726995
OXT,8/11/20,0.1971248356,0.1941930546,0.2068087273,0.1872688183
OXT,8/12/20,0.1832429151,0.1998094806,0.2000756882,0.1807436794
OXT,8/13/20,0.2076645274,0.1851627948,0.220613829,0.1825529485
OXT,8/14/20,0.200823008,0.2036203396,0.2183606496,0.1927064813
OXT,8/15/20,0.2563879163,0.2022531054,0.2787988167,0.1982548571
